Date,Close,Revenue,GDP
2018/11/9,109.57,29.1,20779.79517
2018/11/12,106.870003,29.1,20779.79517
2018/11/13,106.940002,29.1,20779.79517
2018/11/14,104.970001,29.1,20779.79517
2018/11/15,107.279999,29.1,20779.79517
2018/11/16,108.290001,29.1,20779.79517
2018/11/19,104.620003,29.1,20779.79517
2018/11/20,101.709999,29.1,20779.79517
2018/11/21,103.110001,29.1,20779.79517
2018/11/23,103.07,29.1,20779.79517
2018/11/26,106.470001,29.1,20779.79517
2018/11/27,107.139999,29.1,20779.79517
2018/11/28,111.120003,29.1,20779.79517
2018/11/29,110.190002,29.1,20779.79517
2018/11/30,110.889999,29.1,20779.79517
2018/12/3,112.089996,29.1,20834.5454
2018/12/4,108.519997,29.1,20834.5454
2018/12/6,109.190002,29.1,20834.5454
2018/12/7,104.82,29.1,20834.5454
2018/12/10,107.589996,29.1,20834.5454
2018/12/11,108.589996,29.1,20834.5454
2018/12/12,109.080002,29.1,20834.5454
2018/12/13,109.449997,29.1,20834.5454
2018/12/14,106.029999,29.1,20834.5454
2018/12/17,102.889999,29.1,20834.5454
2018/12/18,103.970001,29.1,20834.5454
2018/12/19,103.690002,29.1,20834.5454
2018/12/20,101.510002,29.1,20834.5454
2018/12/21,98.230003,29.1,20834.5454
2018/12/24,94.129997,29.1,20834.5454
2018/12/26,100.559998,29.1,20834.5454
2018/12/27,101.18,29.1,20834.5454
2018/12/28,100.389999,29.1,20834.5454
2018/12/31,101.57,29.1,20834.5454
2019/1/2,101.120003,32.5,20983.2386
2019/1/3,97.400002,32.5,20983.2386
2019/1/4,101.93,32.5,20983.2386
2019/1/7,102.059998,32.5,20983.2386
2019/1/8,102.800003,32.5,20983.2386
2019/1/9,104.269997,32.5,20983.2386
2019/1/10,103.599998,32.5,20983.2386
2019/1/11,102.800003,32.5,20983.2386
2019/1/14,102.050003,32.5,20983.2386
2019/1/15,105.010002,32.5,20983.2386
2019/1/16,105.379997,32.5,20983.2386
2019/1/17,106.120003,32.5,20983.2386
2019/1/18,107.709999,32.5,20983.2386
2019/1/22,105.68,32.5,20983.2386
2019/1/23,106.709999,32.5,20983.2386
2019/1/24,106.199997,32.5,20983.2386
2019/1/25,107.169998,32.5,20983.2386
2019/1/28,105.080002,32.5,20983.2386
2019/1/29,102.940002,32.5,20983.2386
2019/1/30,106.379997,32.5,20983.2386
2019/1/31,104.43,32.5,20983.2386
2019/2/1,102.779999,32.5,20989.67143
2019/2/4,105.739998,32.5,20989.67143
2019/2/5,107.220001,32.5,20989.67143
2019/2/6,106.029999,32.5,20989.67143
2019/2/7,105.269997,32.5,20989.67143
2019/2/8,105.669998,32.5,20989.67143
2019/2/11,105.25,32.5,20989.67143
2019/2/12,106.889999,32.5,20989.67143
2019/2/13,106.809998,32.5,20989.67143
2019/2/14,106.900002,32.5,20989.67143
2019/2/15,108.220001,32.5,20989.67143
2019/2/19,108.169998,32.5,20989.67143
2019/2/20,107.150002,32.5,20989.67143
2019/2/21,109.410004,32.5,20989.67143
2019/2/22,110.970001,32.5,20989.67143
2019/2/25,111.589996,32.5,20989.67143
2019/2/26,112.360001,32.5,20989.67143
2019/2/27,112.169998,32.5,20989.67143
2019/2/28,112.029999,32.5,20989.67143
2019/3/1,112.529999,32.5,21031.86297
2019/3/4,112.260002,32.5,21031.86297
2019/3/5,111.699997,32.5,21031.86297
